Cycle,Pulse_Number,Voltage (V),R (Ohm),R_err (Ohm),k (Ohm·s^0.5),k_err (Ohm·s^0.5),R2
0,1,3.6752405,6.052229122930458,0.017264735604806555,0.28757227825410264,0.02141426925544322,0.9575232016240085
0,2,3.7159011,5.514865509358195,0.006248361034683022,0.15726333017588964,0.007750138123435864,0.9809411414930718
0,3,3.7662783,5.204728165295305,0.004197702730004172,0.11032491492196621,0.005206609505769641,0.982494167079234
0,4,3.8042662,4.914764293500875,0.0034762852784201376,0.104552973460587,0.004311801273114925,0.9865765096959775
0,5,3.8436098,4.837197764486717,0.00372373633509807,0.10291468694341643,0.004618726538382011,0.9841423908029134
0,6,3.8888516,4.696707109794432,0.0038421208476975533,0.11491788808071507,0.004765564424876443,0.9864290805724834
0,7,3.9495564,4.530352684991018,0.0036906419171887908,0.107088779701599,0.00457767793431411,0.9855924582151514
0,8,4.0210657,4.457401796172196,0.0029041394003756806,0.10044557136268845,0.003602141619178646,0.9898163238879244
0,9,4.0912194,4.461519725358396,0.0027182566869066995,0.09592107576597989,0.00337158248747612,0.9902128098861921
0,10,4.1666608,4.486422537720408,0.0037971714635490193,0.10133120761734538,0.004709811575218193,0.9830109547416541
0,11,4.2549114,4.898817060881723,0.003487781640840065,0.09474894061591983,0.004326060727445657,0.9835962423108772
0,12,4.3324723,5.589674962546021,0.007766037778515166,0.14726798115043793,0.009632584404947598,0.9669064450628557
1,1,3.7255588,5.598682323145667,0.0035690449026964076,0.13854866226024137,0.004426855399267202,0.9918989110787981
1,2,3.7895293,5.255891475028542,0.002241086876719091,0.10496966917044183,0.0027797261763090057,0.9944212517872834
1,3,3.8324997,5.120058523543801,0.002716672902626851,0.10580465116751103,0.0033696180447784926,0.9919511818143991
1,4,3.8747256,4.989378920038435,0.0022334682007155294,0.11177457935183345,0.0027702763716333277,0.9951098618925279
1,5,3.9339221,4.891204023003156,0.0027156961135909115,0.11579665651389272,0.003368406487133853,0.9932761664753442
1,6,4.0104327,4.81164509164277,0.002119682629980346,0.11008462431150368,0.0026291427401564822,0.9954575752230533
1,7,4.0845189,4.732251285692497,0.0033655010289546606,0.11076289952657677,0.004174390294171955,0.9887648090001049
1,8,4.1598268,4.760684575673935,0.002971172215834309,0.10209642042983606,0.0036852855943973082,0.9896840829756677
1,9,4.2491274,5.050698203380234,0.002366632862180955,0.09800578785018639,0.002935446807085361,0.9928742722449446
1,10,4.3277569,5.639991894457452,0.0060801848145821446,0.13795703728304454,0.007541541142938996,0.9766513364568464
2,1,3.7299492,5.681570278285346,0.0038549069722418625,0.1399953313012465,0.004781423627305647,0.9907542262491236
2,2,3.793767,5.333777266040897,0.0035366358962500215,0.11062573200959326,0.004386656943323022,0.9875772966835804
2,3,3.8358593,5.162928759929702,0.0019618596984214763,0.11138470941180863,0.002433387467579947,0.9961962996814909
